Amper TH,Amper TH2,Province TH,Province EN,Amper TH3,CODE,Amper EN,ที่ว่าการอำเภอAmper TH Province TH,Lat,Lon
หลักสี่,เขตหลักสี่,กรุงเทพมหานคร,Bangkok,เขตหลักสี่,10410000,Lak Si,ที่ว่าการอำเภอหลักสี่ กรุงเทพมหานคร,13.887495712316154,100.57892209643944
สายไหม,เขตสายไหม,กรุงเทพมหานคร,Bangkok,เขตสายไหม,10420000,Sai Mai,ที่ว่าการอำเภอสายไหม กรุงเทพมหานคร,13.89509435160269,100.66047956693004
คันนายาว,เขตคันนายาว,กรุงเทพมหานคร,Bangkok,เขตคันนายาว,10430000,Khanna Yao,ที่ว่าการอำเภอคันนายาว กรุงเทพมหานคร,13.799303969900633,100.68268068334568
สะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,Bangkok,เขตสะพานสูง,10440000,Saphan Sung,ที่ว่าการอำเภอสะพานสูง กรุงเทพมหานคร,13.768914169173515,100.68570992959629
วังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,Bangkok,เขตวังทองหลาง,10450000,Wang Thong Lang,ที่ว่าการอำเภอวังทองหลาง กรุงเทพมหานคร,13.764163789040015,100.60572374917237
คลองสามวา,เขตคลองสามวา,กรุงเทพมหานคร,Bangkok,เขตคลองสามวา,10460000,Khlong Sam Wa,ที่ว่าการอำเภอคลองสามวา กรุงเทพมหานคร,13.859980708225791,100.70418943555298
บางนา,เขตบางนา,กรุงเทพมหานคร,Bangkok,เขตบางนา,10470000,Bang Na,ที่ว่าการอำเภอบางนา กรุงเทพมหานคร,13.68116344979929,100.5920689526488
ทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,Bangkok,เขตทวีวัฒนา,10480000,Thawi Watthana,ที่ว่าการอำเภอทวีวัฒนา กรุงเทพมหานคร,13.773012727713503,100.35312191434879
ทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,Bangkok,เขตทุ่งครุ,10490000,Thung Khu,ที่ว่าการอำเภอทุ่งครุ กรุงเทพมหานคร,13.611530107310376,100.50873517093675
บางบอน,เขตบางบอน,กรุงเทพมหานคร,Bangkok,เขตบางบอน,10500000,Bang Bon,ที่ว่าการอำเภอบางบอน กรุงเทพมหานคร,13.633938296697691,100.36887942354102
เมืองสมุทรปราการ,เมืองสมุทรปราการ,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,11010000,Mueang Samut Prakan,ที่ว่าการอำเภอเมืองสมุทรปราการ สมุทรปราการ,13.600400235851943,100.59708206899788
บางบ่อ,บางบ่อ,สมุทรปราการ,Samut Prakan,บางบ่อ,11020000,Bang Bo,ที่ว่าการอำเภอบางบ่อ สมุทรปราการ,13.573958059903557,100.83577523039922
บางพลี,บางพลี,สมุทรปราการ,Samut Prakan,บางพลี,11030000,Bang Phli,ที่ว่าการอำเภอบางพลี สมุทรปราการ,13.605782158337714,100.70615410501873
พระประแดง,พระประแดง,สมุทรปราการ,Samut Prakan,พระประแดง,11040000,Phra Pradaeng,ที่ว่าการอำเภอพระประแดง สมุทรปราการ,13.658713173806133,100.5336995122683
พระสมุทรเจดีย์,พระสมุทรเจดีย์,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,11050000,Phra Samut Chedi,ที่ว่าการอำเภอพระสมุทรเจดีย์ สมุทรปราการ,13.568793112437538,100.5617786744659
บางเสาธง,บางเสาธง,สมุทรปราการ,Samut Prakan,บางเสาธง,11060000,Bang Sao Thong,ที่ว่าการอำเภอบางเสาธง สมุทรปราการ,13.594871171737706,100.83004923555984
เมืองนนทบุรี,เมืองนนทบุรี,นนทบุรี,Nonthaburi,เมืองนนทบุรี,12010000,Mueang Nonthaburi,ที่ว่าการอำเภอเมืองนนทบุรี นนทบุรี,13.862418250350489,100.51339381164291
บางกรวย,บางกรวย,นนทบุรี,Nonthaburi,บางกรวย,12020000,Bang Kruai,ที่ว่าการอำเภอบางกรวย นนทบุรี,13.805217620471957,100.47279952905474
บางใหญ่,บางใหญ่,นนทบุรี,Nonthaburi,บางใหญ่,12030000,Bang Yai,ที่ว่าการอำเภอบางใหญ่ นนทบุรี,13.876456787584264,100.40383102346901
บางบัวทอง,บางบัวทอง,นนทบุรี,Nonthaburi,บางบัวทอง,12040000,Bang Bua Thong,ที่ว่าการอำเภอบางบัวทอง นนทบุรี,13.96850231791555,100.40548602927471
ไทรน้อย,ไทรน้อย,นนทบุรี,Nonthaburi,ไทรน้อย,12050000,Sai Noi,ที่ว่าการอำเภอไทรน้อย นนทบุรี,13.978765221040495,100.31363628435317
ปากเกร็ด,ปากเกร็ด,นนทบุรี,Nonthaburi,ปากเกร็ด,12060000,Pak Kret,ที่ว่าการอำเภอปากเกร็ด นนทบุรี,13.912550629491674,100.498227776962
เมืองปทุมธานี,เมืองปทุมธานี,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,13010000,Mueang Pathum Thani,ที่ว่าการอำเภอเมืองปทุมธานี ปทุมธานี,14.01971346102307,100.53464238203622
คลองหลวง,คลองหลวง,ปทุมธานี,Pathum Thani,คลองหลวง,13020000,khlong Luang,ที่ว่าการอำเภอคลองหลวง ปทุมธานี,14.064875279366609,100.6455153486471
ธัญบุรี,ธัญบุรี,ปทุมธานี,Pathum Thani,ธัญบุรี,13030000,Thanyaburi,ที่ว่าการอำเภอธัญบุรี ปทุมธานี,14.016439495285093,100.72426654220803
หนองเสือ,หนองเสือ,ปทุมธานี,Pathum Thani,หนองเสือ,13040000,Nong Suea,ที่ว่าการอำเภอหนองเสือ ปทุมธานี,14.134995139649039,100.82426094898689
ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,Pathum Thani,ลาดหลุมแก้ว,13050000,Lat Lum Kaeo,ที่ว่าการอำเภอลาดหลุมแก้ว ปทุมธานี,14.037061774571752,100.40464795662594
ลำลูกกา,ลำลูกกา,ปทุมธานี,Pathum Thani,ลำลูกกา,13060000,Lam Luk Ka,ที่ว่าการอำเภอลำลูกกา ปทุมธานี,13.93253620994905,100.74966985778853
สามโคก,สามโคก,ปทุมธานี,Pathum Thani,สามโคก,13070000,Sam Khok,ที่ว่าการอำเภอสามโคก ปทุมธานี,14.065316444683049,100.52270099085227
พระนครศรีอยุธยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,14010000,Phra Nakhon Si Ayutthaya,ที่ว่าการอำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา,14.352179711620067,100.57660589089572
ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ท่าเรือ,14020000,Tha Ruea,ที่ว่าการอำเภอท่าเรือ พระนครศรีอยุธยา,14.551552907105012,100.72789148609174
นครหลวง,นครหลวง,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,นครหลวง,14030000,Nakhon Luang,ที่ว่าการอำเภอนครหลวง พระนครศรีอยุธยา,14.464127084761909,100.60590525036477
บางไทร,บางไทร,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บางไทร,14040000,Bang Sai,ที่ว่าการอำเภอบางไทร พระนครศรีอยุธยา,14.212852869977414,100.4982536483068
บางบาล,บางบาล,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บางบาล,14050000,Bang Ban,ที่ว่าการอำเภอบางบาล พระนครศรีอยุธยา,14.373954355696018,100.48584195780442
บางปะอิน,บางปะอิน,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บางปะอิน,14060000,Bang Pa-in,ที่ว่าการอำเภอบางปะอิน พระนครศรีอยุธยา,14.215326798036179,100.57784099344559
บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,บางปะหัน,14070000,Bang Pahan,ที่ว่าการอำเภอบางปะหัน พระนครศรีอยุธยา,14.46266411077231,100.54478332523455
ผักไห่,ผักไห่,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ผักไห่,14080000,Phak Hai,ที่ว่าการอำเภอผักไห่ พระนครศรีอยุธยา,14.45879385399784,100.36915966940283
ภาชี,ภาชี,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาชี,14090000,Phachi,ที่ว่าการอำเภอภาชี พระนครศรีอยุธยา,14.449217685669334,100.72849577920667
ลาดบัวหลวง,ลาดบัวหลวง,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ลาดบัวหลวง,14100000,Lat Bua Luang,ที่ว่าการอำเภอลาดบัวหลวง พระนครศรีอยุธยา,14.16532534383839,100.3081781868699
วังน้อย,วังน้อย,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,วังน้อย,14110000,Wang Noi,ที่ว่าการอำเภอวังน้อย พระนครศรีอยุธยา,14.226740594621697,100.71562321871535
