CODE,Amper TH,Amper EN,Province TH,Province EN,Lat,Lon
15020000,ไชโย,Chaiyo,อ่างทอง,Ang Thong,14.64911607248009,100.47862405713741
15030000,ป่าโมก,Pa Mok,อ่างทอง,Ang Thong,14.488679735110416,100.45089214645319
15040000,โพธิ์ทอง,Pho Thong,อ่างทอง,Ang Thong,14.666373071583282,100.40848082885975
15050000,แสวงหา,Sawaeng Ha,อ่างทอง,Ang Thong,14.751386050844571,100.32489916213946
15060000,วิเศษชัยชาญ,Wiset Chai Chan,อ่างทอง,Ang Thong,14.594739611377156,100.33834296881379
15070000,สามโก้,Samko,อ่างทอง,Ang Thong,14.605681647780406,100.24488193500784
16010000,เมืองลพบุรี,Mueang Lop Buri,ลพบุรี,Lopburi,14.798048532112917,100.65370251528194
16020000,พัฒนานิคม,Phatthana Nikhom,ลพบุรี,Lopburi,14.855887278353102,100.99001063975106
16030000,โคกสำโรง,Khok Samrong,ลพบุรี,Lopburi,15.069737349652645,100.72378692820001
16040000,ชัยบาดาล,Chai Badan,ลพบุรี,Lopburi,15.205814444563261,101.13706962315189
16050000,ท่าวุ้ง,Tha Wung,ลพบุรี,Lopburi,14.815622207806259,100.51145483039666
16060000,บ้านหมี่,Ban Mi,ลพบุรี,Lopburi,15.044526584476147,100.53709668912964
16070000,ท่าหลวง,Tha Luang,ลพบุรี,Lopburi,15.067469087001767,101.1069470610647
16080000,สระโบสถ์,Sa Bot,ลพบุรี,Lopburi,15.195176553742336,100.8487033354673
16090000,โคกเจริญ,Khok Charoen,ลพบุรี,Lopburi,15.382810061504296,100.82247714504035
16100000,ลำสนธิ,Lam Sonthi,ลพบุรี,Lopburi,15.301535728733972,101.36368839991009
16110000,หนองม่วง,Nong Muang,ลพบุรี,Lopburi,15.246708971987768,100.65206876176828
17010000,เมืองสิงห์บุรี,Mueang Sing Buri,สิงห์บุรี,Sing Buri,14.88827113980371,100.40469354698128
17020000,บางระจัน,Bang Rachan,สิงห์บุรี,Sing Buri,14.800225223054916,100.31063970118267
17030000,ค่ายบางระจัน,Khai Bang Rachan,สิงห์บุรี,Sing Buri,14.904105715051552,100.33803927888978
17040000,พรหมบุรี,Phrom Buri,สิงห์บุรี,Sing Buri,14.791347512935335,100.45347276439435
17050000,ท่าช้าง,Tha Chang,สิงห์บุรี,Sing Buri,14.761756518673872,100.38997930690608
17060000,อินทร์บุรี,In Buri,สิงห์บุรี,Sing Buri,15.008649910265229,100.3264754318246
18010000,เมืองชัยนาท,Mueang Chai Nat,ชัยนาท,Chai Nat,15.185476927142602,100.12382635033302
18020000,มโนรมย์,Manorom,ชัยนาท,Chai Nat,15.3094800665875,100.08378510604118
18030000,วัดสิงห์,Wat Sing,ชัยนาท,Chai Nat,15.255265096570072,100.03802771669226
18040000,สรรพยา,Sapphaya,ชัยนาท,Chai Nat,15.137619461100124,100.24287642162429
18050000,สรรคบุรี,Sankhaburi,ชัยนาท,Chai Nat,15.047257229075646,100.16174672812167
18060000,หันคา,Hankha,ชัยนาท,Chai Nat,14.98112873581745,100.01477595274008
18070000,หนองมะโมง,Nong Mamong,ชัยนาท,Chai Nat,15.276835726290395,99.86664692758198
18080000,เนินขาม,Noen Kham,ชัยนาท,Chai Nat,14.962278914964896,99.9117169296217
19010000,เมืองสระบุรี,Mueang Saraburi,สระบุรี,Saraburi,14.528137561398715,100.90981257929879
19020000,แก่งคอย,Kaeng Khoi,สระบุรี,Saraburi,14.586504885677511,100.99773111511973
19030000,หนองแค,Nong Khae,สระบุรี,Saraburi,14.339070121650325,100.86153959165162
19040000,วิหารแดง,Wihan Daeng,สระบุรี,Saraburi,14.346502411276338,100.98928506480812
19050000,หนองแซง,Nong Saeng,สระบุรี,Saraburi,14.491967814349863,100.78444031576288
19060000,บ้านหมอ,Ban Mo,สระบุรี,Saraburi,14.615554927961162,100.72723978486557
19070000,ดอนพุด,Don Phut,สระบุรี,Saraburi,14.592237459133079,100.62833411653385
19080000,หนองโดน,Nong Don,สระบุรี,Saraburi,14.681133409153812,100.70816473623778
19090000,พระพุทธบาท,Phra Phutthabat,สระบุรี,Saraburi,14.725458057295011,100.79523520013633
19100000,เสาไห้,Sao Hai,สระบุรี,Saraburi,14.550851186926572,100.84428737853422
19110000,มวกเหล็ก,Muak Lek,สระบุรี,Saraburi,14.655507638913704,101.19837053434922
19120000,วังม่วง,Wang Muang,สระบุรี,Saraburi,14.845703148075556,101.13442974594142
20010000,เมืองชลบุรี,Mueang Chon Buri,ชลบุรี,Chonburi,13.361868622789313,100.97985053612275
20020000,บ้านบึง,Ban Bueng,ชลบุรี,Chonburi,13.31143893659305,101.11220636748156
20030000,หนองใหญ่,Nong Yai,ชลบุรี,Chonburi,13.156292129128829,101.36600424229827
20040000,บางละมุง,Bang Lamung,ชลบุรี,Chonburi,12.976830087112038,100.91382634314554
20050000,พานทอง,Phan Thong,ชลบุรี,Chonburi,13.470700820237557,101.09681915894343
20060000,พนัสนิคม,Phanat Nikhom,ชลบุรี,Chonburi,13.45218579852603,101.17735879334313
20070000,ศรีราชา,Si Racha,ชลบุรี,Chonburi,13.174465471582042,100.93087411341172
20080000,เกาะสีชัง,Ko Sichang,ชลบุรี,Chonburi,13.163655129103061,100.80801383369268
20090000,สัตหีบ,Sattahip,ชลบุรี,Chonburi,12.662951960377892,100.9056031031669
20100000,บ่อทอง,Bo Thong,ชลบุรี,Chonburi,13.279393753120061,101.43949353555276
20110000,เกาะจันทร์,Ko Chan,ชลบุรี,Chonburi,13.417378017992023,101.33445367788929
21010000,เมืองระยอง,Mueang Rayong,ระยอง,Rayong,12.668361832867296,101.27434659867863
21020000,บ้านฉาง,Ban Chang,ระยอง,Rayong,12.728445397758483,101.06631315572749
21030000,แกลง,Klaeng,ระยอง,Rayong,12.790919820225183,101.63416274677145
21040000,วังจันทร์,Wang Chan,ระยอง,Rayong,12.934898647401093,101.52014370128403
21050000,บ้านค่าย,Ban Khai,ระยอง,Rayong,12.783559149246301,101.29672366705061
21060000,ปลวกแดง,Pluak Daeng,ระยอง,Rayong,12.972255621943123,101.21566875017254
21070000,เขาชะเมา,Khao Chamao,ระยอง,Rayong,12.975520456732667,101.68502971616918
21080000,นิคมพัฒนา,Nikhom Phatthana,ระยอง,Rayong,12.831494252260589,101.20804154221683
22010000,เมืองจันทบุรี,Mueang Chanthaburi,จันทบุรี,Chanthaburi,12.610554449205216,102.10463859472078
22020000,ขลุง,Khlung,จันทบุรี,Chanthaburi,12.45494760934603,102.22151823015815
22030000,ท่าใหม่,Tha Mai,จันทบุรี,Chanthaburi,12.620689866086533,102.01026444735167
22040000,โป่งน้ำร้อน,Pong Nam Ron,จันทบุรี,Chanthaburi,12.905957309805649,102.26272392501556
22050000,มะขาม,Makham,จันทบุรี,Chanthaburi,12.685556757893737,102.1967383558936
22060000,แหลมสิงห์,Laem Sing,จันทบุรี,Chanthaburi,12.481590162365078,102.07366969293147
22070000,สอยดาว,Soi Dao,จันทบุรี,Chanthaburi,13.137206782969503,102.21870096114098
22080000,แก่งหางแมว,Kaeng Hang Maeo,จันทบุรี,Chanthaburi,13.008427731735095,101.90557365089711
22090000,นายายอาม,Na Yai Am,จันทบุรี,Chanthaburi,12.770403782491881,101.85476473178987
22100000,เขาคิชฌกูฏ,Khao Khitchakut,จันทบุรี,Chanthaburi,12.804373665985485,102.11488205430912
23010000,เมืองตราด,Mueang Trat,ตราด,Trat,12.231515364358405,102.51253348942005
23020000,คลองใหญ่,Khlong Yai,ตราด,Trat,11.776373172587878,102.88591004419692
23030000,เขาสมิง,Khao Saming,ตราด,Trat,12.35374614063274,102.43505306416631
23040000,บ่อไร่,Bo Rai,ตราด,Trat,12.579459804537088,102.52507410436485
23050000,แหลมงอบ,Laem Ngop,ตราด,Trat,12.171998612345531,102.39439760671348
23060000,เกาะกูด,Ko Kut,ตราด,Trat,11.658592993775894,102.54192836002194
23070000,เกาะช้าง,Ko Chang,ตราด,Trat,12.103680098576262,102.35195917390685
24010000,เมืองฉะเชิงเทรา,Mueang Chachoengsao,ฉะเชิงเทรา,Chachoengsao,13.68864558771947,101.07080148283227
