,site1,site2,value
82,"('องครักษ์', 'นครนายก')","('องครักษ์', 'นครนายก')",1
83,"('องครักษ์', 'นครนายก')","('หนองจอก', 'กรุงเทพมหานคร')",1
84,"('องครักษ์', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
85,"('องครักษ์', 'นครนายก')","('หนองแค', 'สระบุรี')",1
86,"('องครักษ์', 'นครนายก')","('ธัญบุรี', 'ปทุมธานี')",1
87,"('องครักษ์', 'นครนายก')","('ลำลูกกา', 'ปทุมธานี')",1
88,"('องครักษ์', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
89,"('องครักษ์', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
90,"('องครักษ์', 'นครนายก')","('ปากพลี', 'นครนายก')",1
91,"('องครักษ์', 'นครนายก')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
92,"('องครักษ์', 'นครนายก')","('บ้านสร้าง', 'ปราจีนบุรี')",1
93,"('หนองจอก', 'กรุงเทพมหานคร')","('องครักษ์', 'นครนายก')",1
94,"('หนองจอก', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
95,"('หนองจอก', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
96,"('หนองจอก', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
97,"('หนองจอก', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
98,"('หนองจอก', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
99,"('หนองจอก', 'กรุงเทพมหานคร')","('ธัญบุรี', 'ปทุมธานี')",1
100,"('หนองจอก', 'กรุงเทพมหานคร')","('ลำลูกกา', 'ปทุมธานี')",1
101,"('หนองจอก', 'กรุงเทพมหานคร')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
102,"('หนองจอก', 'กรุงเทพมหานคร')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
103,"('คลองเตย', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
104,"('คลองเตย', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
105,"('คลองเตย', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
106,"('คลองเตย', 'กรุงเทพมหานคร')","('พระโขนง', 'กรุงเทพมหานคร')",1
107,"('คลองเตย', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
108,"('คลองเตย', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
109,"('คลองเตย', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
