,pair,value
177,"('หนองบัวลำภู', 'หนองบัวลำภู')",1
178,"('หนองบัวลำภู', 'ขอนแก่น')",1
179,"('หนองบัวลำภู', 'อุดรธานี')",1
180,"('หนองบัวลำภู', 'เลย')",1
181,"('หนองบัวลำภู', 'หนองคาย')",1
182,"('ขอนแก่น', 'นครราชสีมา')",1
183,"('ขอนแก่น', 'บุรีรัมย์')",1
184,"('ขอนแก่น', 'ชัยภูมิ')",1
185,"('ขอนแก่น', 'หนองบัวลำภู')",1
186,"('ขอนแก่น', 'ขอนแก่น')",1
187,"('ขอนแก่น', 'อุดรธานี')",1
188,"('ขอนแก่น', 'เลย')",1
189,"('ขอนแก่น', 'มหาสารคาม')",1
190,"('ขอนแก่น', 'กาฬสินธุ์')",1
191,"('ขอนแก่น', 'เพชรบูรณ์')",1
192,"('อุดรธานี', 'บึงกาฬ')",1
193,"('อุดรธานี', 'หนองบัวลำภู')",1
194,"('อุดรธานี', 'ขอนแก่น')",1
195,"('อุดรธานี', 'อุดรธานี')",1
196,"('อุดรธานี', 'เลย')",1
197,"('อุดรธานี', 'หนองคาย')",1
198,"('อุดรธานี', 'กาฬสินธุ์')",1
199,"('อุดรธานี', 'สกลนคร')",1
200,"('เลย', 'หนองบัวลำภู')",1
201,"('เลย', 'ขอนแก่น')",1
202,"('เลย', 'อุดรธานี')",1
203,"('เลย', 'เลย')",1
204,"('เลย', 'หนองคาย')",1
205,"('เลย', 'อุตรดิตถ์')",1
206,"('เลย', 'น่าน')",1
207,"('เลย', 'พิษณุโลก')",1
208,"('เลย', 'เพชรบูรณ์')",1
209,"('หนองคาย', 'บึงกาฬ')",1
210,"('หนองคาย', 'หนองบัวลำภู')",1
211,"('หนองคาย', 'อุดรธานี')",1
212,"('หนองคาย', 'เลย')",1
213,"('หนองคาย', 'หนองคาย')",1
214,"('หนองคาย', 'สกลนคร')",1
215,"('มหาสารคาม', 'นครราชสีมา')",1
216,"('มหาสารคาม', 'บุรีรัมย์')",1
217,"('มหาสารคาม', 'สุรินทร์')",1
218,"('มหาสารคาม', 'ขอนแก่น')",1
219,"('มหาสารคาม', 'มหาสารคาม')",1
220,"('มหาสารคาม', 'ร้อยเอ็ด')",1
221,"('มหาสารคาม', 'กาฬสินธุ์')",1
222,"('ร้อยเอ็ด', 'บุรีรัมย์')",1
223,"('ร้อยเอ็ด', 'สุรินทร์')",1
224,"('ร้อยเอ็ด', 'ศรีสะเกษ')",1
225,"('ร้อยเอ็ด', 'ยโสธร')",1
226,"('ร้อยเอ็ด', 'มหาสารคาม')",1
227,"('ร้อยเอ็ด', 'ร้อยเอ็ด')",1
228,"('ร้อยเอ็ด', 'กาฬสินธุ์')",1
229,"('ร้อยเอ็ด', 'มุกดาหาร')",1
230,"('กาฬสินธุ์', 'ยโสธร')",1
231,"('กาฬสินธุ์', 'ขอนแก่น')",1
232,"('กาฬสินธุ์', 'อุดรธานี')",1
233,"('กาฬสินธุ์', 'มหาสารคาม')",1
234,"('กาฬสินธุ์', 'ร้อยเอ็ด')",1
235,"('กาฬสินธุ์', 'กาฬสินธุ์')",1
236,"('กาฬสินธุ์', 'สกลนคร')",1
237,"('กาฬสินธุ์', 'นครพนม')",1
238,"('กาฬสินธุ์', 'มุกดาหาร')",1
239,"('สกลนคร', 'บึงกาฬ')",1
240,"('สกลนคร', 'อุดรธานี')",1
241,"('สกลนคร', 'หนองคาย')",1
242,"('สกลนคร', 'กาฬสินธุ์')",1
243,"('สกลนคร', 'สกลนคร')",1
244,"('สกลนคร', 'นครพนม')",1
245,"('สกลนคร', 'มุกดาหาร')",1
246,"('นครพนม', 'บึงกาฬ')",1
247,"('นครพนม', 'กาฬสินธุ์')",1
248,"('นครพนม', 'สกลนคร')",1
249,"('นครพนม', 'นครพนม')",1
250,"('นครพนม', 'มุกดาหาร')",1
251,"('มุกดาหาร', 'ยโสธร')",1
252,"('มุกดาหาร', 'อำนาจเจริญ')",1
253,"('มุกดาหาร', 'ร้อยเอ็ด')",1
254,"('มุกดาหาร', 'กาฬสินธุ์')",1
255,"('มุกดาหาร', 'สกลนคร')",1
256,"('มุกดาหาร', 'นครพนม')",1
257,"('มุกดาหาร', 'มุกดาหาร')",1
258,"('เชียงใหม่', 'เชียงใหม่')",1
259,"('เชียงใหม่', 'ลำพูน')",1
260,"('เชียงใหม่', 'ลำปาง')",1
261,"('เชียงใหม่', 'แพร่')",1
262,"('เชียงใหม่', 'เชียงราย')",1
263,"('เชียงใหม่', 'แม่ฮ่องสอน')",1
264,"('เชียงใหม่', 'ตาก')",1
265,"('เชียงใหม่', 'สุโขทัย')",1
266,"('ลำพูน', 'เชียงใหม่')",1
267,"('ลำพูน', 'ลำพูน')",1
268,"('ลำพูน', 'ลำปาง')",1
269,"('ลำพูน', 'แม่ฮ่องสอน')",1
270,"('ลำพูน', 'ตาก')",1
271,"('ลำพูน', 'สุโขทัย')",1
272,"('ลำปาง', 'เชียงใหม่')",1
273,"('ลำปาง', 'ลำพูน')",1
274,"('ลำปาง', 'ลำปาง')",1
275,"('ลำปาง', 'อุตรดิตถ์')",1
276,"('ลำปาง', 'แพร่')",1
277,"('ลำปาง', 'พะเยา')",1
278,"('ลำปาง', 'เชียงราย')",1
279,"('ลำปาง', 'ตาก')",1
280,"('ลำปาง', 'สุโขทัย')",1
281,"('ลำปาง', 'พิษณุโลก')",1
282,"('อุตรดิตถ์', 'เลย')",1
283,"('อุตรดิตถ์', 'ลำปาง')",1
284,"('อุตรดิตถ์', 'อุตรดิตถ์')",1
285,"('อุตรดิตถ์', 'แพร่')",1
286,"('อุตรดิตถ์', 'น่าน')",1
287,"('อุตรดิตถ์', 'สุโขทัย')",1
288,"('อุตรดิตถ์', 'พิษณุโลก')",1
289,"('อุตรดิตถ์', 'เพชรบูรณ์')",1
290,"('แพร่', 'เชียงใหม่')",1
291,"('แพร่', 'ลำปาง')",1
292,"('แพร่', 'อุตรดิตถ์')",1
293,"('แพร่', 'แพร่')",1
294,"('แพร่', 'น่าน')",1
295,"('แพร่', 'พะเยา')",1
296,"('แพร่', 'ตาก')",1
297,"('แพร่', 'สุโขทัย')",1
298,"('แพร่', 'พิษณุโลก')",1
299,"('น่าน', 'เลย')",1
300,"('น่าน', 'อุตรดิตถ์')",1
301,"('น่าน', 'แพร่')",1
302,"('น่าน', 'น่าน')",1
303,"('น่าน', 'พะเยา')",1
304,"('น่าน', 'เชียงราย')",1
305,"('พะเยา', 'ลำปาง')",1
306,"('พะเยา', 'แพร่')",1
307,"('พะเยา', 'น่าน')",1
308,"('พะเยา', 'พะเยา')",1
309,"('พะเยา', 'เชียงราย')",1
310,"('เชียงราย', 'เชียงใหม่')",1
311,"('เชียงราย', 'ลำปาง')",1
312,"('เชียงราย', 'น่าน')",1
313,"('เชียงราย', 'พะเยา')",1
314,"('เชียงราย', 'เชียงราย')",1
315,"('แม่ฮ่องสอน', 'เชียงใหม่')",1
316,"('แม่ฮ่องสอน', 'ลำพูน')",1
317,"('แม่ฮ่องสอน', 'แม่ฮ่องสอน')",1
318,"('แม่ฮ่องสอน', 'ตาก')",1
319,"('นครสวรรค์', 'ลพบุรี')",1
320,"('นครสวรรค์', 'สิงห์บุรี')",1
321,"('นครสวรรค์', 'ชัยนาท')",1
322,"('นครสวรรค์', 'สระบุรี')",1
323,"('นครสวรรค์', 'นครสวรรค์')",1
324,"('นครสวรรค์', 'อุทัยธานี')",1
325,"('นครสวรรค์', 'กำแพงเพชร')",1
326,"('นครสวรรค์', 'ตาก')",1
327,"('นครสวรรค์', 'พิจิตร')",1
328,"('นครสวรรค์', 'เพชรบูรณ์')",1
329,"('นครสวรรค์', 'กาญจนบุรี')",1
330,"('นครสวรรค์', 'สุพรรณบุรี')",1
331,"('อุทัยธานี', 'ชัยนาท')",1
332,"('อุทัยธานี', 'นครสวรรค์')",1
333,"('อุทัยธานี', 'อุทัยธานี')",1
334,"('อุทัยธานี', 'ตาก')",1
335,"('อุทัยธานี', 'กาญจนบุรี')",1
336,"('อุทัยธานี', 'สุพรรณบุรี')",1
337,"('กำแพงเพชร', 'นครสวรรค์')",1
338,"('กำแพงเพชร', 'กำแพงเพชร')",1
339,"('กำแพงเพชร', 'ตาก')",1
340,"('กำแพงเพชร', 'สุโขทัย')",1
341,"('กำแพงเพชร', 'พิษณุโลก')",1
342,"('กำแพงเพชร', 'พิจิตร')",1
343,"('ตาก', 'เชียงใหม่')",1
344,"('ตาก', 'ลำพูน')",1
345,"('ตาก', 'ลำปาง')",1
346,"('ตาก', 'แพร่')",1
347,"('ตาก', 'แม่ฮ่องสอน')",1
348,"('ตาก', 'นครสวรรค์')",1
349,"('ตาก', 'อุทัยธานี')",1
350,"('ตาก', 'กำแพงเพชร')",1
351,"('ตาก', 'ตาก')",1
352,"('ตาก', 'สุโขทัย')",1
353,"('ตาก', 'กาญจนบุรี')",1
354,"('สุโขทัย', 'เชียงใหม่')",1
355,"('สุโขทัย', 'ลำพูน')",1
356,"('สุโขทัย', 'ลำปาง')",1
357,"('สุโขทัย', 'อุตรดิตถ์')",1
358,"('สุโขทัย', 'แพร่')",1
359,"('สุโขทัย', 'กำแพงเพชร')",1
360,"('สุโขทัย', 'ตาก')",1
361,"('สุโขทัย', 'สุโขทัย')",1
362,"('สุโขทัย', 'พิษณุโลก')",1
363,"('พิษณุโลก', 'เลย')",1
364,"('พิษณุโลก', 'ลำปาง')",1
365,"('พิษณุโลก', 'อุตรดิตถ์')",1
366,"('พิษณุโลก', 'แพร่')",1
367,"('พิษณุโลก', 'กำแพงเพชร')",1
368,"('พิษณุโลก', 'สุโขทัย')",1
369,"('พิษณุโลก', 'พิษณุโลก')",1
370,"('พิษณุโลก', 'พิจิตร')",1
371,"('พิษณุโลก', 'เพชรบูรณ์')",1
372,"('พิจิตร', 'นครสวรรค์')",1
373,"('พิจิตร', 'กำแพงเพชร')",1
374,"('พิจิตร', 'พิษณุโลก')",1
