,ap,pv,rg,geomtype
461,บ้านนาสาร,สุราษฎร์ธานี,South,Polygon
462,พระแสง,สุราษฎร์ธานี,South,Polygon
463,พุนพิน,สุราษฎร์ธานี,South,Polygon
464,เมืองชุมพร,ชุมพร,South,MultiPolygon
465,ท่าแซะ,ชุมพร,South,Polygon
466,ปะทิว,ชุมพร,South,MultiPolygon
467,หลังสวน,ชุมพร,South,MultiPolygon
468,ละแม,ชุมพร,South,Polygon
469,พะโต๊ะ,ชุมพร,South,Polygon
470,สวี,ชุมพร,South,MultiPolygon
471,ทุ่งตะโก,ชุมพร,South,MultiPolygon
472,ทุ่งหว้า,สตูล,South,Polygon
473,มะนัง,สตูล,South,Polygon
474,เมืองตรัง,ตรัง,South,Polygon
475,กันตัง,ตรัง,South,MultiPolygon
476,บ้านนาเดิม,สุราษฎร์ธานี,South,Polygon
477,เคียนซา,สุราษฎร์ธานี,South,Polygon
478,เวียงสระ,สุราษฎร์ธานี,South,Polygon
479,ชัยบุรี,สุราษฎร์ธานี,South,Polygon
480,วิภาวดี,สุราษฎร์ธานี,South,Polygon
481,เมืองระนอง,ระนอง,South,MultiPolygon
482,ละอุ่น,ระนอง,South,Polygon
483,กะเปอร์,ระนอง,South,MultiPolygon
484,กระบุรี,ระนอง,South,Polygon
485,สุขสำราญ,ระนอง,South,MultiPolygon
486,เมืองสงขลา,สงขลา,South,Polygon
487,ย่านตาขาว,ตรัง,South,Polygon
488,ปะเหลียน,ตรัง,South,MultiPolygon
489,สิเกา,ตรัง,South,MultiPolygon
490,ห้วยยอด,ตรัง,South,Polygon
491,วังวิเศษ,ตรัง,South,Polygon
492,ควนขนุน,พัทลุง,South,Polygon
493,สทิงพระ,สงขลา,South,Polygon
494,จะนะ,สงขลา,South,Polygon
495,นาทวี,สงขลา,South,Polygon
496,เทพา,สงขลา,South,Polygon
497,สะบ้าย้อย,สงขลา,South,Polygon
498,กระแสสินธุ์,สงขลา,South,Polygon
499,รัตภูมิ,สงขลา,South,Polygon
500,สะเดา,สงขลา,South,Polygon
501,หาดใหญ่,สงขลา,South,Polygon
502,ตะโหมด,พัทลุง,South,Polygon
503,ยี่งอ,นราธิวาส,South,Polygon
504,ระโนด,สงขลา,South,Polygon
