,Origin,Destination,Distance
257,Uthai Thani,Nakhon Sawan,44.5 km
258,Uthai Thani,Tak,221 km
259,Uthai Thani,Kanchanaburi,187 km
260,Uthai Thani,Suphan Buri,123 km
261,Kamphaeng Phet,Nakhon Sawan,123 km
262,Kamphaeng Phet,Tak,71.5 km
263,Kamphaeng Phet,Sukhothai,79.3 km
264,Kamphaeng Phet,Phitsanulok,108 km
265,Kamphaeng Phet,Phichit,94.1 km
266,Tak,Chiang Mai,272 km
267,Tak,Lamphun,240 km
268,Tak,Lampang,183 km
269,Tak,Mae Hong Son,459 km
270,Tak,Nakhon Sawan,187 km
271,Tak,Uthai Thani,221 km
272,Tak,Kamphaeng Phet,71.4 km
273,Tak,Sukhothai,84.7 km
274,Tak,Kanchanaburi,411 km
275,Sukhothai,Lampang,210 km
276,Sukhothai,Uttaradit,89.4 km
277,Sukhothai,Phrae,164 km
278,Sukhothai,Kamphaeng Phet,79.1 km
279,Sukhothai,Tak,84.5 km
280,Sukhothai,Phitsanulok,58.1 km
281,Phitsanulok,Loei,227 km
282,Phitsanulok,Uttaradit,110 km
283,Phitsanulok,Kamphaeng Phet,108 km
284,Phitsanulok,Sukhothai,58.1 km
285,Phitsanulok,Phichit,66.4 km
286,Phitsanulok,Phetchabun,161 km
287,Phichit,Nakhon Sawan,105 km
288,Phichit,Kamphaeng Phet,94.4 km
289,Phichit,Phitsanulok,66.5 km
290,Phichit,Phetchabun,132 km
291,Phetchabun,Lopburi,239 km
292,Phetchabun,Chaiyaphum,202 km
293,Phetchabun,Khon Kaen,234 km
294,Phetchabun,Loei,186 km
295,Phetchabun,Nakhon Sawan,195 km
296,Phetchabun,Phitsanulok,160 km
297,Phetchabun,Phichit,133 km
298,Ratchaburi,Kanchanaburi,75.3 km
299,Ratchaburi,Nakhon Pathom,49.6 km
300,Ratchaburi,Samut Sakhon,81.9 km
301,Ratchaburi,Samut Songkhram,46.3 km
302,Ratchaburi,Phetchaburi,57.0 km
303,Kanchanaburi,Uthai Thani,185 km
304,Kanchanaburi,Tak,421 km
305,Kanchanaburi,Ratchaburi,74.0 km
306,Kanchanaburi,Suphan Buri,93.2 km
307,Kanchanaburi,Nakhon Pathom,72.2 km
308,Suphan Buri,Phra Nakhon Si Ayutthaya,62.4 km
309,Suphan Buri,Ang Thong,44.8 km
310,Suphan Buri,Sing Buri,71.2 km
311,Suphan Buri,Chai Nat,96.8 km
312,Suphan Buri,Uthai Thani,124 km
313,Suphan Buri,Kanchanaburi,94.1 km
314,Suphan Buri,Nakhon Pathom,92.2 km
315,Nakhon Pathom,Bangkok,55.8 km
316,Nakhon Pathom,Nonthaburi,64.8 km
317,Nakhon Pathom,Phra Nakhon Si Ayutthaya,118 km
318,Nakhon Pathom,Ratchaburi,49.4 km
319,Nakhon Pathom,Kanchanaburi,70.3 km
320,Nakhon Pathom,Suphan Buri,89.2 km
321,Nakhon Pathom,Samut Sakhon,54.2 km
322,Samut Sakhon,Bangkok,46.8 km
323,Samut Sakhon,Ratchaburi,80.5 km
324,Samut Sakhon,Nakhon Pathom,53.8 km
325,Samut Sakhon,Samut Songkhram,37.8 km
326,Samut Songkhram,Ratchaburi,48.2 km
327,Samut Songkhram,Samut Sakhon,38.7 km
328,Samut Songkhram,Phetchaburi,57.6 km
329,Phetchaburi,Ratchaburi,57.2 km
330,Phetchaburi,Samut Songkhram,56.9 km
331,Phetchaburi,Prachuap Khiri Khan,158 km
332,Prachuap Khiri Khan,Phetchaburi,159 km
333,Prachuap Khiri Khan,Chumphon,180 km
334,Nakhon Si Thammarat,Krabi,161 km
335,Nakhon Si Thammarat,Surat Thani,138 km
336,Nakhon Si Thammarat,Songkhla,176 km
337,Nakhon Si Thammarat,Trang,138 km
338,Nakhon Si Thammarat,Phatthalung,116 km
339,Krabi,Nakhon Si Thammarat,163 km
340,Krabi,Phang Nga,81.1 km
341,Krabi,Surat Thani,160 km
342,Krabi,Trang,129 km
343,Phang Nga,Krabi,80.6 km
344,Phang Nga,Phuket,84.7 km
345,Phang Nga,Surat Thani,154 km
346,Phang Nga,Ranong,229 km
347,Phuket,Phang Nga,86.1 km
348,Surat Thani,Nakhon Si Thammarat,135 km
349,Surat Thani,Krabi,160 km
350,Surat Thani,Phang Nga,159 km
351,Surat Thani,Ranong,206 km
352,Surat Thani,Chumphon,178 km
353,Ranong,Phang Nga,229 km
354,Ranong,Surat Thani,208 km
355,Ranong,Chumphon,122 km
356,Chumphon,Prachuap Khiri Khan,179 km
357,Chumphon,Surat Thani,181 km
358,Chumphon,Ranong,122 km
359,Songkhla,Nakhon Si Thammarat,174 km
360,Songkhla,Satun,124 km
361,Songkhla,Phatthalung,103 km
362,Songkhla,Pattani,106 km
363,Songkhla,Yala,131 km
364,Satun,Songkhla,125 km
365,Satun,Trang,141 km
366,Satun,Phatthalung,137 km
367,Trang,Nakhon Si Thammarat,139 km
368,Trang,Krabi,128 km
369,Trang,Satun,136 km
370,Trang,Phatthalung,58.8 km
371,Phatthalung,Nakhon Si Thammarat,118 km
372,Phatthalung,Songkhla,103 km
373,Phatthalung,Satun,142 km
374,Phatthalung,Trang,58.9 km
375,Pattani,Songkhla,105 km
376,Pattani,Yala,42.4 km
377,Pattani,Narathiwat,94.5 km
378,Yala,Songkhla,131 km
379,Yala,Pattani,43.3 km
380,Yala,Narathiwat,75.6 km
381,Narathiwat,Pattani,95.9 km
382,Narathiwat,Yala,76.1 km
383,Bangkok,Samut Prakan,25.4 km
384,Bangkok,Nonthaburi,15.6 km
385,Bangkok,Pathum Thani,37.5 km
386,Bangkok,Chachoengsao,70.1 km
387,Bangkok,Nakhon Nayok,107 km
388,Bangkok,Nakhon Pathom,58.8 km
389,Bangkok,Samut Sakhon,46.8 km
390,Samut Prakan,Bangkok,24.4 km
391,Samut Prakan,Chachoengsao,71.6 km
392,Nonthaburi,Bangkok,15.4 km
393,Nonthaburi,Pathum Thani,27.8 km
394,Nonthaburi,Phra Nakhon Si Ayutthaya,68.3 km
395,Nonthaburi,Nakhon Pathom,60.1 km
396,Pathum Thani,Bangkok,38.1 km
397,Pathum Thani,Nonthaburi,30.5 km
398,Pathum Thani,Phra Nakhon Si Ayutthaya,51.3 km
399,Pathum Thani,Saraburi,87.4 km
400,Pathum Thani,Chachoengsao,87.8 km
401,Pathum Thani,Nakhon Nayok,90.1 km
402,Phra Nakhon Si Ayutthaya,Nonthaburi,71.0 km
403,Phra Nakhon Si Ayutthaya,Pathum Thani,48.4 km
404,Phra Nakhon Si Ayutthaya,Ang Thong,37.2 km
405,Phra Nakhon Si Ayutthaya,Lopburi,76.4 km
406,Phra Nakhon Si Ayutthaya,Saraburi,48.0 km
407,Phra Nakhon Si Ayutthaya,Suphan Buri,62.8 km
408,Phra Nakhon Si Ayutthaya,Nakhon Pathom,119 km
409,Ang Thong,Phra Nakhon Si Ayutthaya,35.1 km
410,Ang Thong,Lopburi,44.5 km
411,Ang Thong,Sing Buri,41.0 km
412,Ang Thong,Suphan Buri,50.4 km
413,Lopburi,Phra Nakhon Si Ayutthaya,73.2 km
414,Lopburi,Ang Thong,43.4 km
415,Lopburi,Sing Buri,34.1 km
416,Lopburi,Saraburi,46.5 km
417,Lopburi,Nakhon Ratchasima,194 km
418,Lopburi,Chaiyaphum,229 km
419,Lopburi,Nakhon Sawan,131 km
420,Lopburi,Phetchabun,238 km
421,Sing Buri,Ang Thong,41.3 km
422,Sing Buri,Lopburi,33.2 km
423,Sing Buri,Chai Nat,58.4 km
424,Sing Buri,Nakhon Sawan,104 km
425,Sing Buri,Suphan Buri,73.6 km
426,Chai Nat,Sing Buri,59.5 km
427,Chai Nat,Nakhon Sawan,63.1 km
428,Chai Nat,Uthai Thani,28.9 km
429,Chai Nat,Suphan Buri,96.2 km
430,Saraburi,Pathum Thani,80.5 km
431,Saraburi,Phra Nakhon Si Ayutthaya,48.7 km
432,Saraburi,Lopburi,46.1 km
433,Saraburi,Nakhon Nayok,58.7 km
434,Saraburi,Nakhon Ratchasima,153 km
435,Chonburi,Rayong,97.9 km
436,Chonburi,Chanthaburi,165 km
437,Chonburi,Chachoengsao,45.2 km
438,Rayong,Chonburi,96.6 km
439,Rayong,Chanthaburi,111 km
440,Rayong,Chachoengsao,141 km
