,original_tuple,destination_tuple,distance
2661,"('หนองกี่', 'บุรีรัมย์')","('ชำนิ', 'บุรีรัมย์')",46.9 km
2662,"('ละหานทราย', 'บุรีรัมย์')","('ตาพระยา', 'สระแก้ว')",69.2 km
2663,"('ละหานทราย', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",27.4 km
2664,"('ละหานทราย', 'บุรีรัมย์')","('บ้านกรวด', 'บุรีรัมย์')",33.5 km
2665,"('ละหานทราย', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",41.8 km
2666,"('ละหานทราย', 'บุรีรัมย์')","('ปะคำ', 'บุรีรัมย์')",20.0 km
2667,"('ละหานทราย', 'บุรีรัมย์')","('โนนดินแดง', 'บุรีรัมย์')",18.7 km
2668,"('ละหานทราย', 'บุรีรัมย์')","('เฉลิมพระเกียรติ', 'บุรีรัมย์')",27.7 km
2669,"('ประโคนชัย', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",36.6 km
2670,"('ประโคนชัย', 'บุรีรัมย์')","('บ้านกรวด', 'บุรีรัมย์')",26.4 km
2671,"('ประโคนชัย', 'บุรีรัมย์')","('พนมดงรัก', 'สุรินทร์')",44.3 km
2672,"('ประโคนชัย', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",49.6 km
2673,"('ประโคนชัย', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",42.0 km
2674,"('ประโคนชัย', 'บุรีรัมย์')","('พลับพลาชัย', 'บุรีรัมย์')",26.2 km
2675,"('ประโคนชัย', 'บุรีรัมย์')","('ชำนิ', 'บุรีรัมย์')",52.3 km
2676,"('ประโคนชัย', 'บุรีรัมย์')","('เฉลิมพระเกียรติ', 'บุรีรัมย์')",25.4 km
2677,"('ประโคนชัย', 'บุรีรัมย์')","('ปราสาท', 'สุรินทร์')",33.8 km
2678,"('ปะคำ', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",25.0 km
2679,"('ปะคำ', 'บุรีรัมย์')","('เสิงสาง', 'นครราชสีมา')",33.4 km
2680,"('ปะคำ', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",20.0 km
2681,"('ปะคำ', 'บุรีรัมย์')","('โนนสุวรรณ', 'บุรีรัมย์')",27.0 km
2682,"('ปะคำ', 'บุรีรัมย์')","('โนนดินแดง', 'บุรีรัมย์')",16.1 km
2683,"('ปะคำ', 'บุรีรัมย์')","('เฉลิมพระเกียรติ', 'บุรีรัมย์')",47.1 km
2684,"('นาโพธิ์', 'บุรีรัมย์')","('พุทไธสง', 'บุรีรัมย์')",15.9 km
2685,"('นาโพธิ์', 'บุรีรัมย์')","('เปือยน้อย', 'ขอนแก่น')",31.0 km
2686,"('นาโพธิ์', 'บุรีรัมย์')","('หนองสองห้อง', 'ขอนแก่น')",22.5 km
2687,"('นาโพธิ์', 'บุรีรัมย์')","('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')",23.3 km
2688,"('นาโพธิ์', 'บุรีรัมย์')","('นาเชือก', 'มหาสารคาม')",24.8 km
2689,"('นาโพธิ์', 'บุรีรัมย์')","('ยางสีสุราช', 'มหาสารคาม')",21.8 km
2690,"('พลับพลาชัย', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",36.7 km
2691,"('พลับพลาชัย', 'บุรีรัมย์')","('กระสัง', 'บุรีรัมย์')",32.1 km
2692,"('พลับพลาชัย', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",18.5 km
2693,"('พลับพลาชัย', 'บุรีรัมย์')","('เมืองสุรินทร์', 'สุรินทร์')",49.9 km
2694,"('พลับพลาชัย', 'บุรีรัมย์')","('ปราสาท', 'สุรินทร์')",30.7 km
2695,"('ห้วยราช', 'บุรีรัมย์')","('สตึก', 'บุรีรัมย์')",51.3 km
2696,"('ห้วยราช', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",11.8 km
2697,"('ห้วยราช', 'บุรีรัมย์')","('กระสัง', 'บุรีรัมย์')",15.2 km
2698,"('ห้วยราช', 'บุรีรัมย์')","('บ้านด่าน', 'บุรีรัมย์')",25.2 km
2699,"('โนนสุวรรณ', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",26.2 km
2700,"('โนนสุวรรณ', 'บุรีรัมย์')","('เสิงสาง', 'นครราชสีมา')",37.0 km
2701,"('โนนสุวรรณ', 'บุรีรัมย์')","('หนองบุญมาก', 'นครราชสีมา')",42.8 km
2702,"('โนนสุวรรณ', 'บุรีรัมย์')","('หนองกี่', 'บุรีรัมย์')",24.6 km
2703,"('โนนสุวรรณ', 'บุรีรัมย์')","('ปะคำ', 'บุรีรัมย์')",28.3 km
2704,"('ชำนิ', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",20.9 km
2705,"('ชำนิ', 'บุรีรัมย์')","('ลำปลายมาศ', 'บุรีรัมย์')",30.6 km
2706,"('ชำนิ', 'บุรีรัมย์')","('หนองหงส์', 'บุรีรัมย์')",27.5 km
2707,"('ชำนิ', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",41.9 km
2708,"('ชำนิ', 'บุรีรัมย์')","('หนองกี่', 'บุรีรัมย์')",47.7 km
2709,"('ชำนิ', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",56.2 km
2710,"('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')","('พุทไธสง', 'บุรีรัมย์')",22.0 km
2711,"('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')","('หนองสองห้อง', 'ขอนแก่น')",23.9 km
2712,"('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')","('ประทาย', 'นครราชสีมา')",13.6 km
2713,"('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')","('เมืองยาง', 'นครราชสีมา')",39.9 km
2714,"('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')","('นาโพธิ์', 'บุรีรัมย์')",23.4 km
2715,"('โนนดินแดง', 'บุรีรัมย์')","('ตาพระยา', 'สระแก้ว')",51.9 km
2716,"('โนนดินแดง', 'บุรีรัมย์')","('วัฒนานคร', 'สระแก้ว')",98.6 km
2717,"('โนนดินแดง', 'บุรีรัมย์')","('เสิงสาง', 'นครราชสีมา')",46.6 km
2718,"('โนนดินแดง', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",18.8 km
2719,"('โนนดินแดง', 'บุรีรัมย์')","('ปะคำ', 'บุรีรัมย์')",16.2 km
2720,"('บ้านด่าน', 'บุรีรัมย์')","('สตึก', 'บุรีรัมย์')",26.5 km
2721,"('บ้านด่าน', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",18.3 km
2722,"('บ้านด่าน', 'บุรีรัมย์')","('คูเมือง', 'บุรีรัมย์')",34.2 km
2723,"('บ้านด่าน', 'บุรีรัมย์')","('กระสัง', 'บุรีรัมย์')",35.8 km
2724,"('บ้านด่าน', 'บุรีรัมย์')","('ห้วยราช', 'บุรีรัมย์')",20.8 km
2725,"('บ้านด่าน', 'บุรีรัมย์')","('แคนดง', 'บุรีรัมย์')",31.3 km
2726,"('แคนดง', 'บุรีรัมย์')","('พุทไธสง', 'บุรีรัมย์')",46.7 km
2727,"('แคนดง', 'บุรีรัมย์')","('สตึก', 'บุรีรัมย์')",21.6 km
2728,"('แคนดง', 'บุรีรัมย์')","('คูเมือง', 'บุรีรัมย์')",18.0 km
2729,"('แคนดง', 'บุรีรัมย์')","('บ้านด่าน', 'บุรีรัมย์')",32.8 km
2730,"('แคนดง', 'บุรีรัมย์')","('ชุมพลบุรี', 'สุรินทร์')",39.3 km
2731,"('เฉลิมพระเกียรติ', 'บุรีรัมย์')","('นางรอง', 'บุรีรัมย์')",22.8 km
2732,"('เฉลิมพระเกียรติ', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",21.2 km
2733,"('เฉลิมพระเกียรติ', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",26.0 km
2734,"('เฉลิมพระเกียรติ', 'บุรีรัมย์')","('ปะคำ', 'บุรีรัมย์')",40.6 km
2735,"('เมืองอุทัยธานี', 'อุทัยธานี')","('เมืองชัยนาท', 'ชัยนาท')",29.1 km
2736,"('เมืองอุทัยธานี', 'อุทัยธานี')","('มโนรมย์', 'ชัยนาท')",15.1 km
2737,"('เมืองอุทัยธานี', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",15.3 km
2738,"('เมืองอุทัยธานี', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",24.0 km
2739,"('เมืองอุทัยธานี', 'อุทัยธานี')","('พยุหะคีรี', 'นครสวรรค์')",24.0 km
2740,"('เมืองอุทัยธานี', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",19.8 km
2741,"('เมืองอุทัยธานี', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",11.8 km
2742,"('ทัพทัน', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",26.0 km
2743,"('ทัพทัน', 'อุทัยธานี')","('ลาดยาว', 'นครสวรรค์')",37.0 km
2744,"('ทัพทัน', 'อุทัยธานี')","('เมืองอุทัยธานี', 'อุทัยธานี')",19.8 km
2745,"('ทัพทัน', 'อุทัยธานี')","('สว่างอารมณ์', 'อุทัยธานี')",14.8 km
2746,"('ทัพทัน', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",10.1 km
2747,"('ทัพทัน', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",20.4 km
2748,"('ทัพทัน', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",37.5 km
2749,"('สว่างอารมณ์', 'อุทัยธานี')","('เมืองนครสวรรค์', 'นครสวรรค์')",52.9 km
2750,"('สว่างอารมณ์', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",32.4 km
2751,"('สว่างอารมณ์', 'อุทัยธานี')","('ลาดยาว', 'นครสวรรค์')",22.4 km
2752,"('สว่างอารมณ์', 'อุทัยธานี')","('ชุมตาบง', 'นครสวรรค์')",42.3 km
2753,"('สว่างอารมณ์', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",14.9 km
2754,"('สว่างอารมณ์', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",52.3 km
2755,"('หนองฉาง', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",19.6 km
2756,"('หนองฉาง', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",10.0 km
2757,"('หนองฉาง', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",10.6 km
2758,"('หนองฉาง', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",58.5 km
2759,"('หนองฉาง', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",32.3 km
2760,"('หนองฉาง', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",29.8 km
2761,"('หนองขาหย่าง', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",16.5 km
2762,"('หนองขาหย่าง', 'อุทัยธานี')","('เมืองชัยนาท', 'ชัยนาท')",38.9 km
2763,"('หนองขาหย่าง', 'อุทัยธานี')","('มโนรมย์', 'ชัยนาท')",25.0 km
2764,"('หนองขาหย่าง', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",24.4 km
2765,"('หนองขาหย่าง', 'อุทัยธานี')","('เมืองอุทัยธานี', 'อุทัยธานี')",11.2 km
2766,"('หนองขาหย่าง', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",15.8 km
2767,"('หนองขาหย่าง', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",11.8 km
2768,"('บ้านไร่', 'อุทัยธานี')","('หันคา', 'ชัยนาท')",66.1 km
2769,"('บ้านไร่', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",54.3 km
2770,"('บ้านไร่', 'อุทัยธานี')","('เนินขาม', 'ชัยนาท')",54.3 km
2771,"('บ้านไร่', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",68.2 km
2772,"('บ้านไร่', 'อุทัยธานี')","('แม่วงก์', 'นครสวรรค์')",95.3 km
2773,"('บ้านไร่', 'อุทัยธานี')","('แม่เปิน', 'นครสวรรค์')",89.1 km
2774,"('บ้านไร่', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",58.5 km
2775,"('บ้านไร่', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",53.5 km
2776,"('บ้านไร่', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",32.2 km
2777,"('บ้านไร่', 'อุทัยธานี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",85.9 km
2778,"('บ้านไร่', 'อุทัยธานี')","('ด่านช้าง', 'สุพรรณบุรี')",40.7 km
2779,"('บ้านไร่', 'อุทัยธานี')","('อุ้มผาง', 'ตาก')",485 km
2780,"('บ้านไร่', 'อุทัยธานี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",129 km
2781,"('บ้านไร่', 'อุทัยธานี')","('ทองผาภูมิ', 'กาญจนบุรี')",267 km
2782,"('ลานสัก', 'อุทัยธานี')","('แม่วงก์', 'นครสวรรค์')",39.9 km
2783,"('ลานสัก', 'อุทัยธานี')","('แม่เปิน', 'นครสวรรค์')",33.8 km
2784,"('ลานสัก', 'อุทัยธานี')","('ชุมตาบง', 'นครสวรรค์')",22.8 km
2785,"('ลานสัก', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",37.3 km
2786,"('ลานสัก', 'อุทัยธานี')","('สว่างอารมณ์', 'อุทัยธานี')",52.0 km
2787,"('ลานสัก', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",33.2 km
2788,"('ลานสัก', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",53.4 km
2789,"('ลานสัก', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",25.8 km
2790,"('ห้วยคต', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",29.8 km
2791,"('ห้วยคต', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",32.2 km
2792,"('ห้วยคต', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",26.0 km
2793,"('เมืองนนทบุรี', 'นนทบุรี')","('ดุสิต', 'กรุงเทพมหานคร')",14.9 km
2794,"('เมืองนนทบุรี', 'นนทบุรี')","('พญาไท', 'กรุงเทพมหานคร')",14.4 km
2795,"('เมืองนนทบุรี', 'นนทบุรี')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",18.2 km
2796,"('เมืองนนทบุรี', 'นนทบุรี')","('ดอนเมือง', 'กรุงเทพมหานคร')",13.8 km
2797,"('เมืองนนทบุรี', 'นนทบุรี')","('บางพลัด', 'กรุงเทพมหานคร')",11.5 km
2798,"('เมืองนนทบุรี', 'นนทบุรี')","('บางซื่อ', 'กรุงเทพมหานคร')",9.0 km
2799,"('เมืองนนทบุรี', 'นนทบุรี')","('จตุจักร', 'กรุงเทพมหานคร')",8.9 km
2800,"('เมืองนนทบุรี', 'นนทบุรี')","('หลักสี่', 'กรุงเทพมหานคร')",12.1 km
2801,"('เมืองนนทบุรี', 'นนทบุรี')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",27.3 km
2802,"('เมืองนนทบุรี', 'นนทบุรี')","('บางกรวย', 'นนทบุรี')",11.0 km
2803,"('เมืองนนทบุรี', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",15.0 km
2804,"('เมืองนนทบุรี', 'นนทบุรี')","('บางบัวทอง', 'นนทบุรี')",26.3 km
2805,"('เมืองนนทบุรี', 'นนทบุรี')","('ปากเกร็ด', 'นนทบุรี')",8.3 km
2806,"('บางกรวย', 'นนทบุรี')","('พระนคร', 'กรุงเทพมหานคร')",10.3 km
2807,"('บางกรวย', 'นนทบุรี')","('ดุสิต', 'กรุงเทพมหานคร')",9.5 km
2808,"('บางกรวย', 'นนทบุรี')","('พญาไท', 'กรุงเทพมหานคร')",17.7 km
2809,"('บางกรวย', 'นนทบุรี')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",7.4 km
2810,"('บางกรวย', 'นนทบุรี')","('บางกอกน้อย', 'กรุงเทพมหานคร')",7.7 km
2811,"('บางกรวย', 'นนทบุรี')","('บางพลัด', 'กรุงเทพมหานคร')",7.8 km
2812,"('บางกรวย', 'นนทบุรี')","('บางซื่อ', 'กรุงเทพมหานคร')",12.3 km
2813,"('บางกรวย', 'นนทบุรี')","('ราชเทวี', 'กรุงเทพมหานคร')",12.9 km
2814,"('บางกรวย', 'นนทบุรี')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",19.5 km
2815,"('บางกรวย', 'นนทบุรี')","('เมืองนนทบุรี', 'นนทบุรี')",11.8 km
2816,"('บางกรวย', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",17.9 km
2817,"('บางกรวย', 'นนทบุรี')","('สามพราน', 'นครปฐม')",39.0 km
2818,"('บางกรวย', 'นนทบุรี')","('พุทธมณฑล', 'นครปฐม')",22.9 km
2819,"('บางใหญ่', 'นนทบุรี')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",20.2 km
2820,"('บางใหญ่', 'นนทบุรี')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",24.1 km
2821,"('บางใหญ่', 'นนทบุรี')","('เมืองนนทบุรี', 'นนทบุรี')",14.3 km
2822,"('บางใหญ่', 'นนทบุรี')","('บางกรวย', 'นนทบุรี')",19.1 km
2823,"('บางใหญ่', 'นนทบุรี')","('บางบัวทอง', 'นนทบุรี')",12.9 km
2824,"('บางใหญ่', 'นนทบุรี')","('ไทรน้อย', 'นนทบุรี')",19.8 km
2825,"('บางใหญ่', 'นนทบุรี')","('ปากเกร็ด', 'นนทบุรี')",22.0 km
2826,"('บางใหญ่', 'นนทบุรี')","('บางเลน', 'นครปฐม')",42.1 km
2827,"('บางใหญ่', 'นนทบุรี')","('สามพราน', 'นครปฐม')",43.7 km
2828,"('บางใหญ่', 'นนทบุรี')","('พุทธมณฑล', 'นครปฐม')",18.1 km
2829,"('บางบัวทอง', 'นนทบุรี')","('เมืองนนทบุรี', 'นนทบุรี')",23.6 km
2830,"('บางบัวทอง', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",15.0 km
2831,"('บางบัวทอง', 'นนทบุรี')","('ไทรน้อย', 'นนทบุรี')",20.5 km
2832,"('บางบัวทอง', 'นนทบุรี')","('ปากเกร็ด', 'นนทบุรี')",17.7 km
2833,"('บางบัวทอง', 'นนทบุรี')","('เมืองปทุมธานี', 'ปทุมธานี')",23.1 km
2834,"('บางบัวทอง', 'นนทบุรี')","('ลาดหลุมแก้ว', 'ปทุมธานี')",11.5 km
2835,"('บางบัวทอง', 'นนทบุรี')","('พุทธมณฑล', 'นครปฐม')",33.5 km
2836,"('ไทรน้อย', 'นนทบุรี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",24.6 km
2837,"('ไทรน้อย', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",25.8 km
2838,"('ไทรน้อย', 'นนทบุรี')","('บางบัวทอง', 'นนทบุรี')",16.4 km
2839,"('ไทรน้อย', 'นนทบุรี')","('ลาดหลุมแก้ว', 'ปทุมธานี')",18.7 km
2840,"('ไทรน้อย', 'นนทบุรี')","('นครชัยศรี', 'นครปฐม')",34.0 km
2841,"('ไทรน้อย', 'นนทบุรี')","('บางเลน', 'นครปฐม')",19.7 km
2842,"('ไทรน้อย', 'นนทบุรี')","('พุทธมณฑล', 'นครปฐม')",22.8 km
2843,"('ปากเกร็ด', 'นนทบุรี')","('บางเขน', 'กรุงเทพมหานคร')",12.2 km
2844,"('ปากเกร็ด', 'นนทบุรี')","('ดอนเมือง', 'กรุงเทพมหานคร')",12.9 km
2845,"('ปากเกร็ด', 'นนทบุรี')","('จตุจักร', 'กรุงเทพมหานคร')",16.1 km
2846,"('ปากเกร็ด', 'นนทบุรี')","('หลักสี่', 'กรุงเทพมหานคร')",9.6 km
2847,"('ปากเกร็ด', 'นนทบุรี')","('เมืองนนทบุรี', 'นนทบุรี')",8.9 km
2848,"('ปากเกร็ด', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",18.6 km
2849,"('ปากเกร็ด', 'นนทบุรี')","('บางบัวทอง', 'นนทบุรี')",17.1 km
2850,"('ปากเกร็ด', 'นนทบุรี')","('เมืองปทุมธานี', 'ปทุมธานี')",24.5 km
2851,"('ปากเกร็ด', 'นนทบุรี')","('ลาดหลุมแก้ว', 'ปทุมธานี')",30.1 km
2852,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",12.4 km
2853,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('ยานนาวา', 'กรุงเทพมหานคร')",15.6 km
2854,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('ประเวศ', 'กรุงเทพมหานคร')",24.5 km
2855,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",9.5 km
2856,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",37.4 km
2857,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",16.8 km
2858,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระประแดง', 'สมุทรปราการ')",15.8 km
2859,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระสมุทรเจดีย์', 'สมุทรปราการ')",24.2 km
2860,"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",33.3 km
2861,"('บางบ่อ', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",27.2 km
2862,"('บางบ่อ', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",33.6 km
2863,"('บางบ่อ', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",20.3 km
2864,"('บางบ่อ', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",9.7 km
2865,"('บางบ่อ', 'สมุทรปราการ')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",44.2 km
2866,"('บางบ่อ', 'สมุทรปราการ')","('บางปะกง', 'ฉะเชิงเทรา')",22.4 km
2867,"('บางบ่อ', 'สมุทรปราการ')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",40.8 km
2868,"('บางพลี', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",19.9 km
2869,"('บางพลี', 'สมุทรปราการ')","('บางกะปิ', 'กรุงเทพมหานคร')",27.8 km
2870,"('บางพลี', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",19.6 km
2871,"('บางพลี', 'สมุทรปราการ')","('ประเวศ', 'กรุงเทพมหานคร')",17.2 km
2872,"('บางพลี', 'สมุทรปราการ')","('สวนหลวง', 'กรุงเทพมหานคร')",22.8 km
2873,"('บางพลี', 'สมุทรปราการ')","('สะพานสูง', 'กรุงเทพมหานคร')",25.6 km
2874,"('บางพลี', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",18.4 km
2875,"('บางพลี', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",15.2 km
2876,"('บางพลี', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",16.4 km
2877,"('บางพลี', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",21.4 km
2878,"('พระประแดง', 'สมุทรปราการ')","('บางรัก', 'กรุงเทพมหานคร')",14.6 km
2879,"('พระประแดง', 'สมุทรปราการ')","('คลองเตย', 'กรุงเทพมหานคร')",15.3 km
2880,"('พระประแดง', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",19.3 km
2881,"('พระประแดง', 'สมุทรปราการ')","('ปทุมวัน', 'กรุงเทพมหานคร')",13.9 km
2882,"('พระประแดง', 'สมุทรปราการ')","('ยานนาวา', 'กรุงเทพมหานคร')",9.2 km
2883,"('พระประแดง', 'สมุทรปราการ')","('ธนบุรี', 'กรุงเทพมหานคร')",12.1 km
2884,"('พระประแดง', 'สมุทรปราการ')","('คลองสาน', 'กรุงเทพมหานคร')",13.7 km
2885,"('พระประแดง', 'สมุทรปราการ')","('ราษฎร์บูรณะ', 'กรุงเทพมหานคร')",5.5 km
2886,"('พระประแดง', 'สมุทรปราการ')","('สาทร', 'กรุงเทพมหานคร')",9.7 km
2887,"('พระประแดง', 'สมุทรปราการ')","('บางคอแหลม', 'กรุงเทพมหานคร')",10.4 km
2888,"('พระประแดง', 'สมุทรปราการ')","('สวนหลวง', 'กรุงเทพมหานคร')",27.4 km
2889,"('พระประแดง', 'สมุทรปราการ')","('วัฒนา', 'กรุงเทพมหานคร')",24.0 km
2890,"('พระประแดง', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",18.7 km
2891,"('พระประแดง', 'สมุทรปราการ')","('ทุ่งครุ', 'กรุงเทพมหานคร')",9.1 km
2892,"('พระประแดง', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",17.0 km
2893,"('พระประแดง', 'สมุทรปราการ')","('พระสมุทรเจดีย์', 'สมุทรปราการ')",16.3 km
2894,"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('บางขุนเทียน', 'กรุงเทพมหานคร')",29.8 km
2895,"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('ทุ่งครุ', 'กรุงเทพมหานคร')",12.6 km
2896,"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",24.7 km
2897,"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('พระประแดง', 'สมุทรปราการ')",16.3 km
2898,"('บางเสาธง', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",31.9 km
2899,"('บางเสาธง', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",38.2 km
2900,"('บางเสาธง', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",7.6 km
2901,"('บางเสาธง', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",24.9 km
2902,"('บางเสาธง', 'สมุทรปราการ')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",41.1 km
2903,"('บ้านนา', 'นครนายก')","('องครักษ์', 'นครนายก')",23.6 km
2904,"('บ้านนา', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",44.5 km
2905,"('บ้านนา', 'นครนายก')","('แก่งคอย', 'สระบุรี')",44.7 km
2906,"('บ้านนา', 'นครนายก')","('หนองแค', 'สระบุรี')",33.4 km
2907,"('บ้านนา', 'นครนายก')","('วิหารแดง', 'สระบุรี')",12.0 km
2908,"('บ้านนา', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",20.1 km
2909,"('องครักษ์', 'นครนายก')","('บ้านนา', 'นครนายก')",22.9 km
2910,"('องครักษ์', 'นครนายก')","('หนองจอก', 'กรุงเทพมหานคร')",39.5 km
2911,"('องครักษ์', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",27.6 km
2912,"('องครักษ์', 'นครนายก')","('ธัญบุรี', 'ปทุมธานี')",34.5 km
2913,"('องครักษ์', 'นครนายก')","('ลำลูกกา', 'ปทุมธานี')",40.9 km
2914,"('องครักษ์', 'นครนายก')","('วิหารแดง', 'สระบุรี')",34.5 km
