,original_tuple,destination_tuple,distance
222,"('ปากช่อง', 'นครราชสีมา')","('วังน้ำเขียว', 'นครราชสีมา')",72.3 km
223,"('หนองบุญมาก', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",53.4 km
224,"('หนองบุญมาก', 'นครราชสีมา')","('เสิงสาง', 'นครราชสีมา')",52.6 km
225,"('หนองบุญมาก', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",40.6 km
226,"('หนองบุญมาก', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",24.9 km
227,"('หนองบุญมาก', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",43.1 km
228,"('หนองบุญมาก', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",20.1 km
229,"('หนองบุญมาก', 'นครราชสีมา')","('โนนสุวรรณ', 'บุรีรัมย์')",46.3 km
230,"('แก้งสนามนาง', 'นครราชสีมา')","('เมืองชัยภูมิ', 'ชัยภูมิ')",29.0 km
231,"('แก้งสนามนาง', 'นครราชสีมา')","('คอนสวรรค์', 'ชัยภูมิ')",27.0 km
232,"('แก้งสนามนาง', 'นครราชสีมา')","('แวงน้อย', 'ขอนแก่น')",28.6 km
233,"('แก้งสนามนาง', 'นครราชสีมา')","('บ้านเหลื่อม', 'นครราชสีมา')",23.1 km
234,"('แก้งสนามนาง', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",26.8 km
235,"('โนนแดง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",34.1 km
236,"('โนนแดง', 'นครราชสีมา')","('คง', 'นครราชสีมา')",32.6 km
237,"('โนนแดง', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",29.8 km
238,"('โนนแดง', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",25.1 km
239,"('โนนแดง', 'นครราชสีมา')","('สีดา', 'นครราชสีมา')",20.2 km
240,"('วังน้ำเขียว', 'นครราชสีมา')","('ประจันตคาม', 'ปราจีนบุรี')",95.8 km
241,"('วังน้ำเขียว', 'นครราชสีมา')","('นาดี', 'ปราจีนบุรี')",55.3 km
242,"('วังน้ำเขียว', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",63.3 km
243,"('วังน้ำเขียว', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",42.9 km
244,"('วังน้ำเขียว', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",75.2 km
245,"('เทพารักษ์', 'นครราชสีมา')","('ลำสนธิ', 'ลพบุรี')",37.6 km
246,"('เทพารักษ์', 'นครราชสีมา')","('บำเหน็จณรงค์', 'ชัยภูมิ')",39.4 km
247,"('เทพารักษ์', 'นครราชสีมา')","('เทพสถิต', 'ชัยภูมิ')",25.4 km
248,"('เทพารักษ์', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",29.8 km
249,"('เมืองยาง', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",24.5 km
250,"('เมืองยาง', 'นครราชสีมา')","('พุทไธสง', 'บุรีรัมย์')",30.6 km
251,"('เมืองยาง', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",29.7 km
252,"('เมืองยาง', 'นครราชสีมา')","('ลำทะเมนชัย', 'นครราชสีมา')",10.7 km
253,"('เมืองยาง', 'นครราชสีมา')","('คูเมือง', 'บุรีรัมย์')",30.9 km
254,"('เมืองยาง', 'นครราชสีมา')","('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')",39.8 km
255,"('พระทองคำ', 'นครราชสีมา')","('จัตุรัส', 'ชัยภูมิ')",38.8 km
256,"('พระทองคำ', 'นครราชสีมา')","('คง', 'นครราชสีมา')",53.4 km
257,"('พระทองคำ', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",30.1 km
