,original,destination,distance
359,สงขลา,นครศรีธรรมราช,174 km
360,สงขลา,สตูล,124 km
361,สงขลา,พัทลุง,103 km
362,สงขลา,ปัตตานี,106 km
363,สงขลา,ยะลา,131 km
364,สตูล,สงขลา,125 km
365,สตูล,ตรัง,141 km
366,สตูล,พัทลุง,137 km
367,ตรัง,นครศรีธรรมราช,139 km
368,ตรัง,กระบี่,128 km
369,ตรัง,สตูล,136 km
370,ตรัง,พัทลุง,58.8 km
371,พัทลุง,นครศรีธรรมราช,118 km
372,พัทลุง,สงขลา,103 km
373,พัทลุง,สตูล,142 km
374,พัทลุง,ตรัง,58.9 km
375,ปัตตานี,สงขลา,105 km
376,ปัตตานี,ยะลา,42.4 km
377,ปัตตานี,นราธิวาส,94.5 km
378,ยะลา,สงขลา,131 km
379,ยะลา,ปัตตานี,43.3 km
380,ยะลา,นราธิวาส,75.6 km
381,นราธิวาส,ปัตตานี,95.9 km
382,นราธิวาส,ยะลา,76.1 km
383,กรุงเทพมหานคร,สมุทรปราการ,25.4 km
384,กรุงเทพมหานคร,นนทบุรี,15.6 km
385,กรุงเทพมหานคร,ปทุมธานี,37.5 km
386,กรุงเทพมหานคร,ฉะเชิงเทรา,70.1 km
387,กรุงเทพมหานคร,นครนายก,107 km
388,กรุงเทพมหานคร,นครปฐม,58.8 km
389,กรุงเทพมหานคร,สมุทรสาคร,46.8 km
390,สมุทรปราการ,กรุงเทพมหานคร,24.4 km
391,สมุทรปราการ,ฉะเชิงเทรา,71.6 km
392,นนทบุรี,กรุงเทพมหานคร,15.4 km
393,นนทบุรี,ปทุมธานี,27.8 km
394,นนทบุรี,พระนครศรีอยุธยา,68.3 km
395,นนทบุรี,นครปฐม,60.1 km
396,ปทุมธานี,กรุงเทพมหานคร,38.1 km
397,ปทุมธานี,นนทบุรี,30.5 km
398,ปทุมธานี,พระนครศรีอยุธยา,51.3 km
399,ปทุมธานี,สระบุรี,87.4 km
400,ปทุมธานี,ฉะเชิงเทรา,87.8 km
401,ปทุมธานี,นครนายก,90.1 km
402,พระนครศรีอยุธยา,นนทบุรี,71.0 km
403,พระนครศรีอยุธยา,ปทุมธานี,48.4 km
404,พระนครศรีอยุธยา,อ่างทอง,37.2 km
405,พระนครศรีอยุธยา,ลพบุรี,76.4 km
406,พระนครศรีอยุธยา,สระบุรี,48.0 km
407,พระนครศรีอยุธยา,สุพรรณบุรี,62.8 km
408,พระนครศรีอยุธยา,นครปฐม,119 km
409,อ่างทอง,พระนครศรีอยุธยา,35.1 km
410,อ่างทอง,ลพบุรี,44.5 km
411,อ่างทอง,สิงห์บุรี,41.0 km
412,อ่างทอง,สุพรรณบุรี,50.4 km
413,ลพบุรี,พระนครศรีอยุธยา,73.2 km
414,ลพบุรี,อ่างทอง,43.4 km
415,ลพบุรี,สิงห์บุรี,34.1 km
416,ลพบุรี,สระบุรี,46.5 km
417,ลพบุรี,นครราชสีมา,194 km
418,ลพบุรี,ชัยภูมิ,229 km
419,ลพบุรี,นครสวรรค์,131 km
420,ลพบุรี,เพชรบูรณ์,238 km
421,สิงห์บุรี,อ่างทอง,41.3 km
422,สิงห์บุรี,ลพบุรี,33.2 km
423,สิงห์บุรี,ชัยนาท,58.4 km
424,สิงห์บุรี,นครสวรรค์,104 km
425,สิงห์บุรี,สุพรรณบุรี,73.6 km
426,ชัยนาท,สิงห์บุรี,59.5 km
427,ชัยนาท,นครสวรรค์,63.1 km
428,ชัยนาท,อุทัยธานี,28.9 km
429,ชัยนาท,สุพรรณบุรี,96.2 km
430,สระบุรี,ปทุมธานี,80.5 km
431,สระบุรี,พระนครศรีอยุธยา,48.7 km
432,สระบุรี,ลพบุรี,46.1 km
433,สระบุรี,นครนายก,58.7 km
434,สระบุรี,นครราชสีมา,153 km
435,ชลบุรี,ระยอง,97.9 km
