amphoe_id,romanized_amphoe,thai_amphoe,province_id
150,Amphoe Hang Dong,อำเภอหางดง,14
151,Amphoe Hot,อำเภอฮอด,14
152,Amphoe Mae Ai,อำเภอแม่อาย,14
153,Amphoe Mae Chaem,อำเภอแม่แจ่ม,14
154,Amphoe Mae On,อำเภอแม่ออน,14
155,Amphoe Mae Rim,อำเภอแม่ริม,14
156,Amphoe Mae Taeng,อำเภอแม่แตง,14
157,Amphoe Mae Wang,อำเภอแม่วาง,14
158,Amphoe Omkoi,อำเภออมก๋อย,14
159,Amphoe Phrao,อำเภอพร้าว,14
160,Amphoe Samoeng,อำเภอสะเมิง,14
161,Amphoe San Kamphaeng,อำเภอสันกำแพง,14
162,Amphoe San Pa Tong,อำเภอสันป่าตอง,14
163,Amphoe San Sai,อำเภอสันทราย,14
164,Amphoe Saraphi,อำเภอสารภี,14
165,Amphoe Wiang Haeng,อำเภอเวียงแหง,14
166,Amphoe Mueang Chiang Rai,อำเภอเมืองเชียงราย,13
167,Amphoe Chiang Khong,อำเภอเชียงของ,13
168,Amphoe Chiang Saen,อำเภอเชียงแสน,13
169,Amphoe Khun Tan,อำเภอขุนตาล,13
170,Amphoe Doi Luang,อำเภอดอยหลวง,13
171,Amphoe Mae Chan,อำเภอแม่จัน,13
172,Amphoe Mae Fa Luang,อำเภอแม่ฟ้าหลวง,13
173,Amphoe Mae Lao,อำเภอแม่ลาว,13
174,Amphoe Mae Sai,อำเภอแม่สาย,13
175,Amphoe Mae Suai,อำเภอแม่สรวย,13
176,Amphoe Pa Daet,อำเภอป่าแดด,13
177,Amphoe Phan,อำเภอพาน,13
178,Amphoe Phaya Mengrai,อำเภอพญาเม็งราย,13
179,Amphoe Thoeng,อำเภอเทิง,13
180,Amphoe Wiang Chai,อำเภอเวียงชัย,13
181,Amphoe Wiang Chiang Rung,อำเภอเวียงเชียงรุ้ง,13
182,Amphoe Wiang Kaen,อำเภอเวียงแก่น,13
183,Amphoe Wiang Pa Pao,อำเภอเวียงป่าเป้า,13
184,Amphoe Mueang Chon Buri,อำเภอเมืองชลบุรี,9
185,Amphoe Ban Bueng,อำเภอบ้านบึง,9
186,Amphoe Bang Lamung,อำเภอบางละมุง,9
187,Amphoe Bo Thong,อำเภอบ่อทอง,9
188,Amphoe Ko Chan,อำเภอเกาะจันทร์,9
189,Amphoe Ko Si  Chang,อำเภอเกาะสีชัง,9
190,Amphoe Nong Yai,อำเภอหนองใหญ่,9
191,Amphoe Phan Thong,อำเภอพานทอง,9
192,Amphoe Phanat Nikhom,อำเภอพนัสนิคม,9
193,Amphoe Sattahip,อำเภอสัตหีบ,9
194,Amphoe Si Racha,อำเภอศรีราชา,9
195,Amphoe Mueang Chumphon,อำเภอเมืองชุมพร,12
196,Amphoe Lamae,อำเภอละแม,12
197,Amphoe Lang Suan,อำเภอหลังสวน  ,12
198,Amphoe Pathio,อำเภอปะทิว,12
199,Amphoe Phato,อำเภอพะโต๊ะ,12
200,Amphoe Sawi,อำเภอสวี,12
201,Amphoe Tha Sae,อำเภอท่าแซะ,12
202,Amphoe Thung Tako,อำเภอทุ่งตะโก,12
203,Amphoe Mueang Kalasin,อำเภอเมืองกาฬสินธุ์,4
204,Amphoe Don Chan,อำเภอดอนจาน,4
205,Amphoe Huai Mek,อำเภอห้วยเม็ก,4
206,Amphoe Huai Phueng,อำเภอห้วยผึ้ง,4
207,Amphoe Kamalasai,อำเภอกมลาไสย,4
208,Amphoe Kham Muang,อำเภอคำม่วง,4
209,Amphoe Khao Wong,อำเภอเขาวง,4
210,Amphoe Khong Chai,อำเภอฆ้องชัย,4
211,Amphoe Kuchinarai,อำเภอกุฉินารายณ์,4
212,Amphoe Na Khu,อำเภอนาคู,4
213,Amphoe Na Mon,อำเภอนามน,4
214,Amphoe Nong Kung Si,อำเภอหนองกุงศรี,4
215,Amphoe Rong Kham,อำเภอร่องคำ,4
216,Amphoe Sahatsakhan,อำเภอสหัสขันธ์,4
217,Amphoe Sam Chai,อำเภอสามชัย,4
218,Amphoe Somdet,อำเภอสมเด็จ,4
219,Amphoe Tha Khantho,อำเภอท่าคันโท,4
220,Amphoe Yang Talat,อำเภอยางตลาด,4
221,Amphoe Mueang Kamphaeng Phet,อำเภอเมืองกำแพงเพชร,5
222,Amphoe Bueng Samakkhi,อำเภอบึงสามัคคี,5
223,Amphoe Khanu Woralaksaburi,อำเภอขาณุวรลักษบุรี,5
224,Amphoe Khlong Khlung,อำเภอคลองขลุง,5
225,Amphoe Khlong Lan,อำเภอคลองลาน,5
226,Amphoe Kosamphi Nakhon,อำเภอโกสัมพีนคร,5
227,Amphoe Lan Krabue,อำเภอลานกระบือ,5
228,Amphoe Pang Sila Thong,อำเภอปางศิลาทอง,5
229,Amphoe Phran Kratai,อำเภอพรานกระต่าย,5
230,Amphoe Sai Ngam,อำเภอไทรงาม,5
231,Amphoe Sai Thong Watthana,อำเภอทรายทองวัฒนา,5
232,Amphoe Mueang Kanchanaburi,อำเภอเมืองกาญจนบุรี,3
233,Amphoe Bo Phloi,อำเภอบ่อพลอย,3
234,Amphoe Dan Makham Tia,อำเภอด่านมะขามเตี้ย,3
235,Amphoe Huai Krachao,อำเภอห้วยกระเจา,3
236,Amphoe Lao Khwan,อำเภอเลาขวัญ,3
237,Amphoe Nong Prue,อำเภอหนองปรือ,3
238,Amphoe Phanom Thuan,อำเภอพนมทวน,3
239,Amphoe Sai Yok,อำเภอไทรโยค,3
240,Amphoe Sangkhla Buri,อำเภอสังขละบุรี,3
241,Amphoe Si Sawat,อำเภอศรีสวัสดิ์,3
242,Amphoe Tha Maka,อำเภอท่ามะกา,3
243,Amphoe Tha Muang,อำเภอท่าม่วง,3
244,Amphoe Thong Pha Phum,อำเภอทองผาภูมิ,3
245,Amphoe Mueang Khon Kaen,อำเภอเมืองขอนแก่น,6
246,Amphoe Ban Fang,อำเภอบ้านฝางคีรี,6
247,Amphoe Ban Phai,อำเภอบ้านไผ่,6
248,Amphoe Ban Haet,อำเภอบ้านแฮด,6
249,Amphoe Chonnabot,อำเภอชนบท,6
250,Amphoe Chum Phae,อำเภอชุมแพ,6
251,Amphoe Khao Suan Kwang,อำเภอเขาสวนกวาง,6
252,Amphoe Khok Pho Chai,อำเภอโคกโพธิ์ไชย,6
253,Amphoe Kranuan,อำเภอกระนวน,6
254,Amphoe Mancha Khiri,อำเภอมัญจา,6
255,Amphoe Nam Phong,อำเภอน้ำพอง,6
256,Amphoe Nong Na Kham,อำเภอหนองนาคำ,6
257,Amphoe Nong Ruea,อำเภอหนองเรือ,6
258,Amphoe Nong Song Hong,อำเภอหนองสองห้อง,6
259,Amphoe Non Sila,อำเภอโนนศิลา,6
260,Amphoe Phon,อำเภอพล,6
261,Amphoe Phra Yuen,อำเภอพระยืน,6
262,Amphoe Phu Pha Man,อำเภอภูผาม่าน,6
263,Amphoe Phu Wiang,อำเภอภูเวียง,6
264,Amphoe Pueai Noi,อำเภอเปือยน้อย,6
265,Amphoe Sam Sung,อำเภอซำสูง,6
266,Amphoe Si Chomphu,อำเภอสีชมพู,6
267,Amphoe Ubolratana,อำเภออุบลรัตน์,6
268,Amphoe Waeng Noi,อำเภอแวงน้อย,6
269,Amphoe Waeng Yai,อำเภอแวงใหญ่,6
270,Amphoe Wiang Kao,อำเภอเวียงเก่า,6
271,Amphoe Mueang Krabi,อำเภอเมืองกระบี่,2
272,Amphoe Ao Luek,อำเภออ่าวลึก,2
273,Amphoe Khao Phanom,อำเภอเขาพนม,2
274,Amphoe Khlong Thom,อำเภอคลองท่อม,2
275,Amphoe Ko Lanta,อำเภอเกาะลันตา,2
276,Amphoe Lam Thap,อำเภอลำทับ,2
277,Amphoe Nuea Khlong,อำเภอเหนือคลอง,2
278,Amphoe Plai Phraya,อำเภอปลายพระยา,2
279,Amphoe Mueang Lampang,อำเภอเมืองลำปาง,53
280,Amphoe Chae Hom,อำเภอแจ้ห่ม,53
281,Amphoe Hang Chat,อำเภอห้างฉัตร,53
282,Amphoe Ko Kha,อำเภอเกาะคา,53
283,Amphoe Mae Mo,อำเภอแม่เมาะ,53
284,Amphoe Mae Phrik,อำเภอแม่พริก,53
285,Amphoe Mae Tha,อำเภอแม่ทะ,53
286,Amphoe Mueang Pan,อำเภอเมืองปาน,53
287,Amphoe Ngao,อำเภองาว,53
288,Amphoe Soem Ngam,อำเภอเสริมงาม,53
289,Amphoe Sop Prap,อำเภอสบปราบ,53
290,Amphoe Thoen,อำเภอเถิน,53
291,Amphoe Wang Nuea,อำเภอวังเหนือ,53
292,Amphoe Mueang Lamphun,อำเภอเมืองลำพูน,54
293,Amphoe Ban Hong,อำเภอบ้านโฮ่ง,54
294,Amphoe Ban Thi,อำเภอบ้านธิ,54
295,Amphoe Li,อำเภอลี้,54
296,Amphoe Mae Tha,อำเภอแม่ทา,54
297,Amphoe Pa Sang,อำเภอป่าซาง,54
298,Amphoe Thung Hua Chang,อำเภอทุ่งหัวช้าง,54
299,Amphoe Wiang Nong Long,อำเภอเวียงหนองล่อง,54
300,Amphoe Mueang Loei,อำเภอเมืองเลย,55
301,Amphoe Chiang Khan,อำเภอเชียงคาน,55
